FLDNAME,Raw (beta),Raw (pvalue)
UCD.Lipid.136,-0.014939058,0.879635773
UCD.Lipid.137,-0.023836832,0.807761313
UCD.Lipid.138,0.024295499,0.806381315
UCD.Lipid.139,-0.093814796,0.343545373
UCD.Lipid.140,0.063088274,0.520075238
UCD.Lipid.141,0.05765073,0.554355259
UCD.Lipid.142,0.070036475,0.47316427
UCD.Lipid.143,-0.251790206,0.013606793
UCD.Lipid.144,-0.026388564,0.787240629
UCD.Lipid.145,-0.25790681,0.011525603
UCD.Lipid.146,-0.041860149,0.67297381
UCD.Lipid.147,0.032613883,0.738033566
UCD.Lipid.148,-0.289305655,0.003947244
UCD.Lipid.149,-0.195676181,0.050953853
UCD.Lipid.150,-0.204316001,0.041101835
UCD.Lipid.151,-0.032720912,0.738316733
UCD.Lipid.152,0.169831691,0.089451362
UCD.Lipid.153,0.022144087,0.821568774
UCD.Lipid.154,0.011649373,0.906594192
UCD.Lipid.155,0.29066339,0.003940663
UCD.Lipid.156,0.154512676,0.115624498
UCD.Lipid.157,0.059956122,0.539042514
UCD.Lipid.158,0.200508281,0.042615486
UCD.Lipid.159,-0.027883746,0.775611307
UCD.Lipid.160,0.048268031,0.621854917
UCD.Lipid.161,0.014645292,0.881666077
UCD.Lipid.162,-0.214306366,0.032721396
UCD.Lipid.163,-0.149996957,0.130477168
UCD.Lipid.164,-0.131877958,0.183127843
UCD.Lipid.165,0.151559515,0.124785799
UCD.Lipid.166,0.11534033,0.243596499
UCD.Lipid.167,-0.032848901,0.738319222
UCD.Lipid.168,-0.059389704,0.544027467
UCD.Lipid.169,0.067207484,0.49330161
UCD.Lipid.170,0.152857254,0.12031399
UCD.Lipid.171,0.07158766,0.463186145
UCD.Lipid.172,-0.071460527,0.465307029
UCD.Lipid.173,0.147896907,0.154444873
UCD.Lipid.174,0.10278139,0.318816636
UCD.Lipid.175,-0.026609897,0.786496656
UCD.Lipid.176,-0.089313805,0.380950249
UCD.Lipid.177,0.108546575,0.289267299
UCD.Lipid.178,0.020514361,0.834664561
UCD.Lipid.179,0.066553754,0.512813571
UCD.Lipid.180,0.111439522,0.27568954
UCD.Lipid.181,0.051956557,0.608444121
UCD.Lipid.182,-0.020119166,0.842450441
UCD.Lipid.183,0.046418559,0.643840154
UCD.Lipid.184,0.06669381,0.504695362
UCD.Lipid.185,0.100320035,0.312508563
UCD.Lipid.186,0.006984228,0.944486851
UCD.Lipid.187,-0.095593505,0.343347297
UCD.Lipid.188,0.013806662,0.88921015
UCD.Lipid.189,-0.013481329,0.891686415
UCD.Lipid.190,0.154366467,0.117383799
UCD.Lipid.191,0.150723428,0.129046501
UCD.Lipid.192,-0.051815054,0.61171609
UCD.Lipid.193,0.018512725,0.852679346
UCD.Lipid.194,0.071014848,0.472378025
UCD.Lipid.195,0.158697751,0.111017994
UCD.Lipid.196,0.015620643,0.876607305
UCD.Lipid.197,-0.11575829,0.23856643
UCD.Lipid.198,0.014627882,0.880587886
UCD.Lipid.199,0.123119363,0.207101847
UCD.Lipid.200,0.204261431,0.038159284
UCD.Lipid.201,0.167510772,0.090501837
UCD.Lipid.202,0.087219042,0.381336877
UCD.Lipid.203,-0.059279701,0.556705105
UCD.Lipid.204,0.150629798,0.130043514
UCD.Lipid.205,0.245221179,0.014717437
UCD.Lipid.206,0.329790633,0.001188507
UCD.Lipid.207,0.122129241,0.222566333
UCD.Lipid.208,-0.043874352,0.672497934
UCD.Lipid.209,-0.035746381,0.722300809
UCD.Lipid.210,0.032929622,0.736486393
UCD.Lipid.211,0.128937745,0.190077496
UCD.Lipid.212,0.202721128,0.040429814
UCD.Lipid.213,0.031183403,0.750968233
UCD.Lipid.214,0.065269164,0.505904745
UCD.Lipid.215,0.029501478,0.769439062
UCD.Lipid.216,0.083393557,0.397850574
UCD.Lipid.217,0.131126665,0.183915221
UCD.Lipid.218,0.180774356,0.067820459
UCD.Lipid.219,0.094932636,0.333171967
UCD.Lipid.220,-0.037849282,0.711376009
UCD.Lipid.221,-0.086686871,0.397923786
UCD.Lipid.222,-0.051868924,0.60183971
UCD.Lipid.223,0.023105006,0.81263789
UCD.Lipid.224,0.065368149,0.502622159
UCD.Lipid.225,0.100005461,0.308862906
UCD.Lipid.226,0.101768778,0.300543151
UCD.Lipid.227,0.117642387,0.239829428
UCD.Lipid.228,-0.129085929,0.212696523
UCD.Lipid.229,-0.115894187,0.26212591
UCD.Lipid.230,-0.124992877,0.214105063
UCD.Lipid.231,-0.023233618,0.812210586
UCD.Lipid.232,0.047395503,0.628971446
UCD.Lipid.233,0.031489255,0.747401477
UCD.Lipid.234,-0.050195663,0.610666896
UCD.Lipid.235,-0.345971547,0.00089586
UCD.Lipid.236,-0.19971655,0.047624138
UCD.Lipid.237,-0.119266588,0.242718302
UCD.Lipid.238,-0.188635928,0.066574135
UCD.Lipid.239,-0.121387389,0.236888301
UCD.Lipid.240,-0.257018663,0.011682259
UCD.Lipid.241,-0.143930273,0.164477673
UCD.Lipid.242,-0.162617441,0.119826824
UCD.Lipid.243,-0.156892484,0.124166436
UCD.Lipid.244,0.017097944,0.862880664
UCD.Lipid.245,-0.33795611,0.001327375
UCD.Lipid.246,-0.38994352,0.000230074
UCD.Lipid.247,-0.157073883,0.124888993
UCD.Lipid.248,-0.175932017,0.087072739
UCD.Lipid.249,-0.339542371,0.001327052
UCD.Lipid.250,-0.118304955,0.249239225
UCD.Lipid.251,-0.062252711,0.542774676
UCD.Lipid.252,-0.004191636,0.966915433
UCD.Lipid.253,-0.09655277,0.329008005
UCD.Lipid.254,-0.035987908,0.722332677
UCD.Lipid.255,-0.082067213,0.415296227
UCD.Lipid.256,-0.085347371,0.393449478
UCD.Lipid.257,0.090206352,0.35499836
UCD.Lipid.258,0.083105131,0.395213994
UCD.Lipid.259,-0.257753887,0.013216653
UCD.Lipid.260,0.252856597,0.010845246
UCD.Lipid.261,0.067041926,0.491390232
UCD.Lipid.262,0.202921402,0.040476131
UCD.Lipid.263,0.108388149,0.268495071
UCD.Lipid.264,-0.002174788,0.982280703
UCD.Lipid.265,0.080391595,0.414269055
UCD.Lipid.266,0.008659581,0.929684517
UCD.Lipid.267,0.116261314,0.238456824
UCD.Lipid.268,0.07626609,0.434691605
UCD.Lipid.269,-0.051086189,0.602777276
UCD.Lipid.270,-0.09897655,0.313491837
UCD.Lipid.271,0.127858682,0.19243367
UCD.Lipid.272,-0.129471758,0.191634929
UCD.Lipid.273,-0.225245518,0.024887223
UCD.Lipid.274,-0.006303327,0.948878846
UCD.Lipid.275,-0.112473848,0.252355146
UCD.Lipid.276,0.051081849,0.603391842
UCD.Lipid.277,-0.068394733,0.490140775
UCD.Lipid.278,-0.226724903,0.02581832
UCD.Lipid.279,-0.06439021,0.509193431
UCD.Lipid.280,0.168509789,0.085663117
UCD.Lipid.281,-0.138884045,0.159344331
UCD.Lipid.282,-0.035698923,0.716233813
UCD.Lipid.283,0.134907757,0.167807619
UCD.Lipid.284,-0.056414125,0.56331942
UCD.Lipid.285,0.122305735,0.211264859
UCD.Lipid.286,-0.029056186,0.766080814
UCD.Lipid.287,0.107876545,0.270898019
UCD.Lipid.288,-0.181601602,0.066297343
UCD.Lipid.289,-0.102932136,0.301850222
UCD.Lipid.290,-0.02615461,0.78933955
UCD.Lipid.291,0.072892845,0.460553383
UCD.Lipid.292,-0.143003167,0.160770834
UCD.Lipid.293,-0.003116768,0.97496905
UCD.Lipid.294,-0.041516026,0.671325718
UCD.Lipid.295,-0.113236426,0.25059964
UCD.Lipid.296,-0.033462551,0.735106717
UCD.Lipid.297,-0.007802427,0.936626573
UCD.Lipid.298,-0.167058705,0.091096442
UCD.Lipid.299,-0.06060081,0.553203871
UCD.Lipid.300,-0.089626039,0.362817366
UCD.Lipid.301,-0.089822578,0.360019104
UCD.Lipid.302,-0.063157661,0.518089811
UCD.Lipid.303,-0.112688045,0.255768138
UCD.Lipid.304,-0.100499735,0.307777549
UCD.Lipid.305,-0.063444246,0.519870321
