"file id","ID","mx class id","mTIC","fTIC","label","species","organ","treatment","time","treatment_time","mx sample id"
"110624baasa34_1","12","69114 ","1427739","1715479","G5-0.17-6","Human","HepG2 cell","5mM Glucose","1hr","5mM Glucose  - 0.17 hr ","69120"
"110624baasa26_1","7","69121 ","1593745","1633858","G5-1-1","Human","HepG2 cell","5mM Glucose","6hr","5mM Glucose  - 1 hr","69122"
"110624baasa22_1","8","69121 ","1511621","1716991","G5-1-2","Human","HepG2 cell","5mM Glucose","6hr","5mM Glucose  - 1 hr","69123"
"110624baasa02_1","9","69121 ","1419319","1685116","G5-1-3","Human","HepG2 cell","5mM Glucose","6hr","5mM Glucose  - 1 hr","69124"
"110625baasa17_1","10","69121 ","1950415","1624828","G5-1-4","Human","HepG2 cell","5mM Glucose","6hr","5mM Glucose  - 1 hr","69125"
"110624baasa41_1","11","69121 ","1617359","1618769","G5-1-5","Human","HepG2 cell","5mM Glucose","6hr","5mM Glucose  - 1 hr","69126"
"110624baasa11_1","12","69121 ","1471604","1957514","G5-1-6","Human","HepG2 cell","5mM Glucose","6hr","5mM Glucose  - 1 hr","69127"
"110624baasa04_1","7","69089 ","1475255","1709983","G5-6-1","Human","HepG2 cell","5mM Glucose","24hr","5mM Glucose  - 6 hrs","69090"
"110625baasa06_1","8","69089 ","1786186","1502972","G5-6-2","Human","HepG2 cell","5mM Glucose","24hr","5mM Glucose  - 6 hrs","69091"
"110625baasa13_1","9","69089 ","2007586","1766463","G5-6-3","Human","HepG2 cell","5mM Glucose","24hr","5mM Glucose  - 6 hrs","69092"
"110624baasa25_1","10","69089 ","1719414","1597292","G5-6-4","Human","HepG2 cell","5mM Glucose","24hr","5mM Glucose  - 6 hrs","69093"
"110624baasa21_1","11","69089 ","1622550","1668466","G5-6-5","Human","HepG2 cell","5mM Glucose","24hr","5mM Glucose  - 6 hrs","69094"
"110624baasa18_1","12","69089 ","1725974","1786414","G5-6-6","Human","HepG2 cell","5mM Glucose","24hr","5mM Glucose  - 6 hrs","69095"
"110625baasa20_1","7","69096 ","1641608","1665842","G5-24-1","Human","HepG2 cell","5mM Glucose","17hr","5mM Glucose  - 24 hrs","69097"
"110624baasa38_1","8","69096 ","1413276","1637323","G5-24-2","Human","HepG2 cell","5mM Glucose","17hr","5mM Glucose  - 24 hrs","69098"
"110625baasa10_1","9","69096 ","1487667","1645143","G5-24-3","Human","HepG2 cell","5mM Glucose","17hr","5mM Glucose  - 24 hrs","69099"
"110624baasa48_1","10","69096 ","1467507","1599400","G5-24-4","Human","HepG2 cell","5mM Glucose","17hr","5mM Glucose  - 24 hrs","69100"
"110625baasa02_1","11","69096 ","1309009","1541006","G5-24-5","Human","HepG2 cell","5mM Glucose","17hr","5mM Glucose  - 24 hrs","69101"
"110625baasa24_1","12","69096 ","1525123","1685141","G5-24-6","Human","HepG2 cell","5mM Glucose","17hr","5mM Glucose  - 24 hrs","69102"
"110624baasa44_1","13","69170 ","1505601","1567807","g-f-0.17-1","Human","HepG2 cell","5mM Glucose + 5mM Fructose","17hr","5mM Glucose + 5mM Fructose  - 0.17 hr","69171"
"110625baasa01_1","14","69170 ","1471397","1595547","g-f-0.17-2","Human","HepG2 cell","5mM Glucose + 5mM Fructose","17hr","5mM Glucose + 5mM Fructose  - 0.17 hr","69172"
"110624baasa16_1","15","69170 ","1593339","1803416","g-f-0.17-3","Human","HepG2 cell","5mM Glucose + 5mM Fructose","17hr","5mM Glucose + 5mM Fructose  - 0.17 hr","69173"
"110624baasa27_1","16","69170 ","1393890","1647487","g-f-0.17-4","Human","HepG2 cell","5mM Glucose + 5mM Fructose","17hr","5mM Glucose + 5mM Fructose  - 0.17 hr","69174"
"110624baasa28_1","17","69170 ","1262138","1544244","g-f-0.17-5","Human","HepG2 cell","5mM Glucose + 5mM Fructose","17hr","5mM Glucose + 5mM Fructose  - 0.17 hr","69175"
"110624baasa43_1","18","69170 ","2027990","1594680","g-f-0.17-6","Human","HepG2 cell","5mM Glucose + 5mM Fructose","17hr","5mM Glucose + 5mM Fructose  - 0.17 hr","69176"
"110625baasa08_1","13","69156 ","1855061","1682433","g-f-1-1","Human","HepG2 cell","5mM Glucose + 5mM Fructose","1hr","5mM Glucose + 5mM Fructose  - 1 hr","69157"
"110624baasa01_1","14","69156 ","1502623","1807450","g-f-1-2","Human","HepG2 cell","5mM Glucose + 5mM Fructose","1hr","5mM Glucose + 5mM Fructose  - 1 hr","69158"
"110625baasa15_1","15","69156 ","1928068","1669304","g-f-1-3","Human","HepG2 cell","5mM Glucose + 5mM Fructose","1hr","5mM Glucose + 5mM Fructose  - 1 hr","69159"
"110624baasa10_1","16","69156 ","1756449","1817963","g-f-1-4","Human","HepG2 cell","5mM Glucose + 5mM Fructose","1hr","5mM Glucose + 5mM Fructose  - 1 hr","69160"
"110624baasa08_1","17","69156 ","1620397","1777054","g-f-1-5","Human","HepG2 cell","5mM Glucose + 5mM Fructose","1hr","5mM Glucose + 5mM Fructose  - 1 hr","69161"
"110625baasa23_1","18","69156 ","1890487","1746053","g-f-1-6","Human","HepG2 cell","5mM Glucose + 5mM Fructose","1hr","5mM Glucose + 5mM Fructose  - 1 hr","69162"
"110624baasa13_1","13","69163 ","1864077","1891408","g-f-6-1","Human","HepG2 cell","5mM Glucose + 5mM Fructose","6hr","5mM Glucose + 5mM Fructose  - 6 hrs","69164"
"110624baasa17_1","14","69163 ","2155173","1871483","g-f-6-2","Human","HepG2 cell","5mM Glucose + 5mM Fructose","6hr","5mM Glucose + 5mM Fructose  - 6 hrs","69165"
"110624baasa49_1","15","69163 ","1858722","1594475","g-f-6-3","Human","HepG2 cell","5mM Glucose + 5mM Fructose","6hr","5mM Glucose + 5mM Fructose  - 6 hrs","69166"
"110624baasa39_1","16","69163 ","1936848","1705881","g-f-6-4","Human","HepG2 cell","5mM Glucose + 5mM Fructose","6hr","5mM Glucose + 5mM Fructose  - 6 hrs","69167"
"110624baasa19_1","17","69163 ","1912596","1845340","g-f-6-5","Human","HepG2 cell","5mM Glucose + 5mM Fructose","6hr","5mM Glucose + 5mM Fructose  - 6 hrs","69168"
"110625baasa05_1","18","69163 ","2014879","1695956","g-f-6-6","Human","HepG2 cell","5mM Glucose + 5mM Fructose","6hr","5mM Glucose + 5mM Fructose  - 6 hrs","69169"
"110624baasa06_1","13","69180","1441748","1767090","g-f-24-1","Human","HepG2 cell","5mM Glucose + 5mM Fructose","24hr","5mM Glucose + 5mM Fructose  - 24 hrs","69150"
"110624baasa40_1","14","69180","1821500","1896179","g-f-24-2","Human","HepG2 cell","5mM Glucose + 5mM Fructose","24hr","5mM Glucose + 5mM Fructose  - 24 hrs","69151"
"110624baasa37_1","15","69180","1674723","1732373","g-f-24-3","Human","HepG2 cell","5mM Glucose + 5mM Fructose","24hr","5mM Glucose + 5mM Fructose  - 24 hrs","69152"
"110625baasa28_1","16","69180","2163203","1599355","g-f-24-4","Human","HepG2 cell","5mM Glucose + 5mM Fructose","24hr","5mM Glucose + 5mM Fructose  - 24 hrs","69153"
"110624baasa45_1","17","69180","1647281","1618977","g-f-24-5","Human","HepG2 cell","5mM Glucose + 5mM Fructose","24hr","5mM Glucose + 5mM Fructose  - 24 hrs","69154"
"110625baasa07_1","18","69180","1843394","1638313","g-f-24-6","Human","HepG2 cell","5mM Glucose + 5mM Fructose","24hr","5mM Glucose + 5mM Fructose  - 24 hrs","69155"
